Variable	Table	CodeOrValue	ValueDescription	Count	Cumulative	SkipToItem
MCQ230A	MCQ_L	29		4	11738	
MCQ230A	MCQ_L	34		3	11741	
MCQ230A	MCQ_L	20		3	11744	
MCQ230B	MCQ_L	.	Missing	11585	11585	
MCQ230B	MCQ_L	32		34	11619	
MCQ230B	MCQ_L	39		29	11648	
MCQ230B	MCQ_L	33		16	11664	
MCQ230B	MCQ_L	14		12	11676	
MCQ230B	MCQ_L	16		9	11685	
MCQ230B	MCQ_L	30		8	11693	
MCQ230B	MCQ_L	25		7	11700	
MCQ230B	MCQ_L	23		6	11706	
MCQ230B	MCQ_L	19		6	11712	
MCQ230B	MCQ_L	38		5	11717	
MCQ230B	MCQ_L	15		5	11722	
MCQ230B	MCQ_L	24		3	11725	
MCQ230B	MCQ_L	10		3	11728	
MCQ230B	MCQ_L	28		3	11731	
MCQ230B	MCQ_L	35		3	11734	
MCQ230B	MCQ_L	31		3	11737	
MCQ230B	MCQ_L	37		2	11739	
MCQ230B	MCQ_L	20		1	11740	
MCQ230B	MCQ_L	18		1	11741	
MCQ230B	MCQ_L	36		1	11742	
MCQ230B	MCQ_L	21		1	11743	
MCQ230B	MCQ_L	12		1	11744	
MCQ230C	MCQ_L	.	Missing	11718	11718	
MCQ230C	MCQ_L	39		4	11722	
MCQ230C	MCQ_L	25		3	11725	
MCQ230C	MCQ_L	32		3	11728	
MCQ230C	MCQ_L	33		3	11731	
MCQ230C	MCQ_L	23		2	11733	
MCQ230C	MCQ_L	30		2	11735	
MCQ230C	MCQ_L	28		2	11737	
MCQ230C	MCQ_L	16		1	11738	
MCQ230C	MCQ_L	24		1	11739	
MCQ230C	MCQ_L	22		1	11740	
MCQ230C	MCQ_L	35		1	11741	
MCQ230C	MCQ_L	13		1	11742	
MCQ230C	MCQ_L	15		1	11743	
MCQ230C	MCQ_L	21		1	11744	
MCQ230D	MCQ_L	.	Missing	11742	11742	
MCQ230D	MCQ_L	66		2	11744	
